s_agency_code, zip_code, state, city, address, longitude, latitude, arb_code, name
"035", "93444", "CA", "Nipomo", "W. Tefft St & Pomeroy Rd", "-120.50101", "35.03150", "40852", "Nipomo - Regional Park"
"004", "94063", "CA", "Redwood City", "897 Barron Av", "-122.20348", "37.48293", "41541", "Redwood City"
"017", "", "CA", "Capitan", "Calle Real & State Hwy 1", "-120.04496", "34.46456", "42037", "Las Flores Canyon-Odor site"
"017", "93436", "CA", "Lompoc", "3602 Harris Grade Rd", "-120.43280", "34.71902", "42098", "Lompoc-Odor"
"017", "93117", "CA", "Capitan", "Calle Real & State Hwy 1", "-120.04690", "34.48976", "42101", "Las Flores Canyon #1"
"017", "93460", "CA", "Santa Ynez", "900 Airport Rd", "-120.07507", "34.60582", "42369", "Santa Ynez"
"017", "93117", "CA", "El Capitan State Beach", "US Hwy 101", "-120.02547", "34.46248", "42370", "El Capitan Beach"
"017", "93436", "CA", "Lompoc", "128 S. H Street", "-120.45750", "34.63782", "42381", "Lompoc-South H Street"
"001", "93454", "CA", "Santa Maria", "906 S. Broadway", "-120.43561", "34.94287", "42408", "Santa Maria - South Broadway"
"017", "", "CA", "Vandenburg AFB", "STS Power Plant", "-120.63129", "34.59593", "42390", "Vandenberg Air Force Base-STS"
"017", "93436", "CA", "Lompoc", "HS & P Facility", "-120.42872", "34.72534", "42394", "Lompoc-HS&P"
"017", "93105", "CA", "Los Padres National Forest", "Paradise Road", "-119.79152", "34.54170", "42395", "Los Padres National Forest"
"017", "93117", "CA", "Gaviota", "US Hwy 101 & Nojoqui Pass", "-120.19666", "34.52745", "42399", "Gaviota - Nojoqui"
"017", "93117", "CA", "Goleta", "Exxon #10", "-119.87965", "34.41495", "42401", "Santa Barbara - UCSB Campus"
"017", "93013", "CA", "Carpinteria", "Gobernador Road", "-119.45791", "34.40305", "42402", "Carpinteria-Gobernador Road"
"017", "93117", "CA", "Goleta", "380 N. Fairview Av", "-119.82845", "34.44551", "42404", "Goleta-Fairview"
"004", "95030", "CA", "Los Gatos", "306 University Av", "-121.97969", "37.22687", "43380", "Los Gatos"
"004", "95020", "CA", "Gilroy", "9th and Princevalle", "-121.57466", "36.99958", "43389", "Gilroy-9th Street"
"004", "95046", "CA", "San Martin", "13030 Murphy Av", "-121.60004", "37.07939", "43393", "San Martin"
"011", "95062", "CA", "Santa Cruz", "960 Bostwick Lane", "-121.98822", "36.98332", "44200", "Santa Cruz AMS"
"037", "96001", "CA", "Redding", "2630 Breslauer Way", "-122.38092", "40.55013", "45555", "Redding - Health Department"
"815", "96071", "CA", "Lassen Volcanic National Park", "West Entrance", "-121.57646", "40.53996", "45566", "Lassen Volcanic National Park"
"037", "96007", "CA", "Anderson", "2220 North St", "-122.29883", "40.45318", "45567", "Anderson-North Street"
"038", "96097", "CA", "Yreka", "530 S. Foothill Dr.", "-122.63359", "41.72679", "47861", "Yreka"
"004", "94590", "CA", "Vallejo", "304 Tuolumne St", "-122.23800", "38.10251", "48879", "Vallejo"
"020", "95688", "CA", "Vacaville", "650 Merchant St", "-121.99410", "38.35140", "48881", "Vacaville-Merchant Street"
"032", "95425", "CA", "Cloverdale", "100 S. Washington St", "-123.01820", "38.80423", "49886", "Cloverdale"
"032", "95446", "CA", "Guerneville", "16255 1st Street", "-122.99819", "38.50107", "49895", "Guerneville-Church and 1st"
"032", "95448", "CA", "Healdsburg", "133 Matheson St", "-122.86878", "38.61090", "49898", "Healdsburg - Matheson"
"032", "95448", "CA", "Healdsburg", "200 Heidelberg Way", "-122.90187", "38.65407", "49899", "Healdsburg-Municipal Airport"
"001", "95354", "CA", "Modesto", "814 14th Street", "-120.99421", "37.64217", "50568", "Modesto-14th Street"
"069", "95380", "CA", "Turlock", "1034 S Minaret St", "-120.83592", "37.48822", "50573", "Turlock-S Minaret Street"
"001", "95991", "CA", "Yuba City", "773 Almond St", "-121.61872", "39.13876", "51898", "Yuba City"
"001", "", "CA", "Sutter Buttes", "Top of South Butte", "-121.82046", "39.20556", "51899", "Sutter Buttes (seasonal)"
"001", "", "CA", "Tuscan Butte", "Fire Lookout Atop Tuscan Butte", "-122.09265", "40.26207", "52910", "Tuscan Butte (seasonal)"
"050", "96093", "CA", "Weaverville", "Court & Church Sts", "-122.94117", "40.73475", "53915", "Weaverville"
"815", "", "CA", "Sequoia National Park", "Ash Mountain", "-118.82914", "36.48943", "54009", "Sequoia National Park-Ash Mountain"
"815", "", "CA", "Sequoia National Park", "Lower Kaweah Campground", "-118.77770", "36.56613", "54036", "Sequoia National Park-Lower Kaweah"
"001", "93291", "CA", "Visalia", "310 N. Church St", "-119.29095", "36.33252", "54568", "Visalia"
"001", "95370", "CA", "Sonora", "251 S. Barretta St", "-120.37855", "37.98178", "55930", "Sonora - Barretta Street"
"019", "93023", "CA", "Ojai", "1201 E. Ojai Av", "-119.23131", "34.44804", "56172", "Ojai - East Ojai Av"
"019", "93063", "CA", "Simi Valley", "5400 Cochran St", "-118.68375", "34.27640", "56434", "Simi Valley - Cochran Street"
"019", "91360", "CA", "Thousand Oaks", "2323 Moorpark Rd", "-118.87050", "34.21014", "56435", "Thousand Oaks-Moorpark Road"
"019", "93030", "CA", "El Rio", "545 Central Av", "-119.14318", "34.25238", "56436", "El Rio-Rio Mesa School #2"
"019", "93063", "CA", "Simi Valley", "2801 Madera Rd", "-118.79761", "34.29124", "56437", "Simi Valley - Upper Air"
"020", "95691", "CA", "West Sacramento", "132 W. 15th St", "-121.52579", "38.57146", "57570", "West Sacramento-15th Street"
"001", "95616", "CA", "Davis", "Campbell Rd", "-121.77340", "38.53455", "57577", "Davis-UCD Campus"
"020", "95776", "CA", "Woodland", "41929 E Gibson Rd", "-121.73269", "38.66121", "57582", "Woodland-Gibson Road"
"004", "94542", "CA", "Hayward", "3466 La Mesa Dr", "-122.03155", "37.65446", "60337", "Hayward"
"061", "91702", "CA", "Azusa", "803 N. Loren Av", "-117.92392", "34.13648", "70060", "Azusa"
"061", "90807", "CA", "Long Beach", "3648 N. Long Beach Bl", "-118.18916", "33.82376", "70072", "North Long Beach (Long Beach)"
"061", "91702", "CA", "Reseda", "18330 Gault St", "-118.53275", "34.19920", "70074", "Reseda"
"061", "91767", "CA", "Pomona", "924 N. Garey Av", "-117.75138", "34.06698", "70075", "Pomona"
"061", "90012", "CA", "Los Angeles", "1630 North Main Street", "-118.22676", "34.06653", "70087", "Los Angeles-North Main Street"
"061", "91702", "CA", "Pasadena", "752 S Wilson Av", "-118.12714", "34.13265", "70088", "Pasadena"
"061", "90025", "CA", "Los Angeles", "Wilshire Bl & Sawtelle", "-118.45640", "34.05109", "70091", "Los Angeles - VA Hospital"
"061", "91741", "CA", "Glendora", "840 Laurel Av", "-117.85038", "34.14437", "70591", "Glendora-Laurel"
"036", "91910", "CA", "Chula Vista", "80 E. J St.", "-117.05905", "32.63123", "80114", "Chula Vista"
"036", "91901", "CA", "Alpine", "2505 W. Victoria Dr", "-116.76784", "32.84231", "80128", "Alpine-Victoria Drive"
"036", "92014", "CA", "Del Mar", "215 9th St", "-117.26407", "32.95208", "80133", "Del Mar - Winston School"
"036", "92019", "CA", "Camp Pendleton", "21441 West B St", "-117.39616", "33.21701", "80198", "Camp Pendleton"
"004", "94107", "CA", "San Francisco", "10 Arkansas St", "-122.39902", "37.76595", "90306", "San Francisco-Arkansas Street"
"001", "95969", "CA", "Paradise", "4405 Airport Rd", "-121.61731", "39.70845", "04638", "Paradise - Airport"
"061", "92860", "CA", "Norco", "USNFAC Norco", "-117.57244", "33.92145", "33155", "Norco"
"004", "94550", "CA", "Livermore", "793 Rincon Ave", "-121.78420", "37.68750", "60344", "Livermore - Rincon"
"022", "93541", "CA", "Mono Lake", "Mono Lake - North Shore", "-118.94774", "38.06971", "26011", "Mono Lake - North Shore"
"014", "92392", "CA", "Victorville", "14306 Park Av", "-117.32555", "34.51096", "36306", "Victorville - Park Avenue"
"035", "", "CA", "San Luis Obispo", "3601 Gillis Canyon Road", "-120.23134", "35.64366", "40999", "Red Hills"
"061", "91321", "CA", "Santa Clarita", "22224 Placerita Canyon", "-118.52839", "34.38337", "70090", "Santa Clarita-Placerita"
"019", "", "CA", "Piru", "Pacific Av", "-118.80991", "34.40426", "56450", "Piru - Pacific"
"022", "", "CA", "Olancha", "North of 190", "-117.89758", "36.36632", "14025", "Shell Cut"
"022", "", "CA", "Olancha", "North of 190", "-117.83672", "36.41996", "14024", "Flat Rock"
"069", "93227", "CA", "Visalia", "Visalia Municipal Airport", "-119.39301", "36.31411", "54000", "Visalia - Airport"
"004", "", "CA", "Richmond", "140 W Richmond Ave", "-122.38554", "37.92617", "07432", "Richmond-Point Richmond"
"071", "93535", "CA", "Lancaster", "43301 Division St", "-118.13068", "34.66959", "70301", "Lancaster-Division Street"
"004", "95112", "CA", "San Jose", "158 E Jackson St", "-121.89494", "37.34849", "43383", "San Jose - Jackson St"
"004", "94585", "CA", "Fairfield", "1010 Chadbourne Rd.", "-122.07566", "38.22709", "48880", "Fairfield-Chadbourne"
"004", "94806", "CA", "San Pablo", "1865 Rumrill Blvd", "-122.35685", "37.96040", "07447", "San Pablo-Rumrill"
"004", "94965", "CA", "National Park Service", "Ft. Cronkhite Bldg. 1049", "-122.53361", "37.83361", "21454", "Fort Cronkhite"
"004", "94572", "CA", "Rodeo", "326 Third St", "-122.27031", "38.03435", "07446", "Rodeo-Third St"
"061", "92802", "CA", "Anaheim", "1630 Pampas Ln", "-117.93850", "33.83061", "30178", "Anaheim-Loara School"
"001", "93103", "CA", "Santa Barbara", "700 E. Canon Perdido", "-119.69091", "34.42775", "42409", "Santa Barbara-National Guard Armory"
"020", "95687", "CA", "Vacaville", "2012 Ulatis Drive", "-121.94986", "38.35655", "48884", "Vacaville-Ulatis Drive"
"061", "90806", "CA", "Long Beach", "1305 E. Pacific Coast Hwy", "-118.17525", "33.79240", "70110", "South Long Beach"
"037", "96019", "CA", "Shasta Lake", "4066 La Mesa Ave", "-122.37429", "40.67707", "47873", "Shasta Lake-La Mesa"
"001", "92225", "CA", "Blythe", "445 W Murphy St", "-114.60209", "33.61235", "33201", "Blythe-Murphy Street"
"009", "92227", "CA", "Brawley", "220 Main St.", "-115.53904", "32.97831", "13701", "Brawley-Main Street #2"
"022", "93545", "CA", "Olancha", "One mile east of 395, north of Olancha", "-118.01079", "36.36194", "14730", "Owens Lake-Ash Point-Stanley"
"061", "90045", "CA", "Los Angeles", "7201 W Westchester Parkway", "-118.43049", "33.95507", "70111", "Los Angeles - LAX"
"061", "90221", "CA", "Compton", "700 North Bullis Rd", "-118.20499", "33.90145", "70112", "Compton "
"022", "93545", "CA", "Lone Pine", "Sewer Ponds East of Locust St.", "-118.04765", "36.60753", "14700", "Lone Pine Sewer Ponds"
"036", "92112", "CA", "San Diego", "1110A Beardsley St", "-117.14962", "32.70148", "80142", "San Diego - Beardsley"
"069", "95376", "CA", "Tracy", "5749 S. Tracy Blvd.", "-121.44238", "37.68268", "39271", "Tracy - Airport"
"061", "", "CA", "Pico Rivera", "4144 San Gabriel River Pkwy.", "-118.06850", "34.01029", "70185", "Pico Rivera #2"
"061", "", "CA", "Mira Loma", "5130 Poinsetta Place", "-117.49240", "33.99636", "33165", "Mira Loma-Van Buren"
"035", "", "CA", "", "9640 Carrizo Highway", "-120.04013", "35.35474", "40990", "Carrizo Plains"
"013", "95827", "CA", "Sacramento", "3847 Branch Center Rd.", "-121.33659", "38.55129", "34284", "Sacramento-Branch Center #2"
"001", "93405", "CA", "San Luis Obispo", "3220 South Higuera Street, Suite 330", "-120.66930", "35.25651", "40836", "San Luis Obispo-Higuera Street"
"050", "", "CA", "Eureka", "717 South  Ave.", "-124.17949", "40.77678", "12505", "Eureka - Jacobs Ave."
"001", "", "CA", "Willows", "720 N. Colusa St.", "-122.19083", "39.53387", "11676", "Willows-Colusa"
"022", "93514", "CA", "Bishop", "3000 East Line Street", "-118.33080", "37.36075", "14732", "White Mountain Research Station"
"004", "94603", "CA", "Oakland", "9925 International Blvd.", "-122.16994", "37.74306", "60347", "Oakland - East"
"061", "92596", "CA", "Winchester", "33700 Borel Road", "-117.08333", "33.58333", "33031", "Temecula - Lake Skinner"
"013", "95834", "CA", "", "68 Goldenland Ct.", "-121.50660", "38.65069", "34315", "Sacramento-Goldenland"
"011", "93930", "CA", "King City", "415 Pearl St.", "-121.12596", "36.20902", "27555", "King City - Pearl"
"022", "93545", "CA", "", "NE Shoreline Owens Lake", "-117.94180", "36.54312", "14733", "Lizard Tail"
"001", "93203", "CA", "Arvin", "19405 Buena Vista Blvd", "-118.78863", "35.23918", "15249", "Arvin - Di Giorgio"
"", "92254", "CA", "Mecca", "Lincoln Ave. & 73rd Ave.", "-116.07538", "33.51831", "33601", "Torres - Martinez"
"", "92254", "CA", "North Shore", "100-225 State Park Rd.", "-115.91954", "33.50896", "33602", "Salton Sea Park"
"", "92257", "CA", "Bombay Beach", "A St. & 3rd St.", "-115.73419", "33.35264", "13601", "Bombay Beach"
"", "92233", "CA", "Calipatria", "906 W Sinclair Rd.", "-115.62310", "33.17638", "13602", "Sonny Bono"
"", "", "CA", "", "", "-115.85593", "33.16923", "13603", "Naval Test Base"
"", "92275", "CA", "Salton City", "N/A", "-115.90062", "33.27275", "13604", "Salton City"
"036", "92179", "CA", "San Diego", "480 Alta Road", "-116.92135", "32.57816", "80140", "Otay Mesa - Donovan Correctional Facility"
"069", "93234", "CA", "Huron", "16875 4th Street", "-120.10117", "36.19865", "10247", "Huron - 4th Street"
"069", "93257", "CA", "Porterville", "1839 South Newcomb Street", "-119.05505", "36.03179", "10243", "Porterville"
"069", "93668", "CA", "Tranquility", "32650 West Adams Avenue", "-120.38234", "36.63424", "10242", "Tranquility"
"069", "91350", "CA", "Lebec", "Bear Trap Rd.", "-118.86058", "34.84155", "10240", "Lebec"
"069", "93638", "CA", "Madera", "28261 Ave. 14", "-120.03419", "36.95326", "10241", "Madera City"
"024", "93255", "CA", "Canebrake", "3147 Highway 178", "-118.13770", "35.72775", "15310", "Canebrake"
"035", "93420", "CA", "Arroyo Grande", "2391 Willow Road", "-120.58777", "35.04676", "40853", "CDF - Arroyo Grande"
"029", "95490", "CA", "Willits", "125 E. Commercial St.", "-123.35264", "39.41174", "23754", "Willits - Justice Center"
"021", "95966", "CA", "Paradise", "6701 Clark Rd", "-121.59135", "39.77919", "04633", "Paradise - Theater"
"004", "94607", "CA", "Oakland", "1100 21st Street", "-122.28236", "37.81480", "60349", "Oakland - West"
"022", "93549", "CA", "Dolomite", "North Beach Owens Lake", "-117.99009", "36.54226", "14727", "North Beach Owens Lake"
"036", "92145", "CA", "San Diego", "6125A Kearny Villa Road", "-117.12389", "32.84547", "80136", "San Diego - Kearny Villa Road"
"037", "96019", "CA", "Shasta Lake", "13791 Lake Blvd.", "-122.40226", "40.68908", "47875", "Shasta Lake - Lake Blvd"
"050", "95503", "CA", "Eureka", "7333 Humboldt Hill Rd", "-124.20149", "40.71527", "12507", "Eureka - Humboldt Hill"
"069", "95337", "CA", "Manteca", "530 Fishback Rd.", "-121.24779", "37.79338", "24531", "Manteca AMS"
"022", "93514", "CA", "Keeler", "ENE Shoreline at Owens Lake near Hwy 136", "-117.85185", "36.45806", "14734", "Mill"
"815", "", "CA", "Joshua Tree National Monument", "Joshua Tree National Park", "-115.82041", "33.74127", "36150", "Joshua Tree NP - Cottonwood"
"001", "93726", "CA", "Fresno", "3727 N. 1st Street, Ste. 104", "-119.77321", "36.78538", "10251", "Fresno - Garland"
"001", "95926", "CA", "Chico", "984 East Ave, Ste 4", "-121.84047", "39.76168", "04625", "Chico - East Avenue"
"029", "95437", "CA", "Fort Bragg", "300 Dana Street", "-123.78766", "39.43734", "23758", "Fort Bragg - 300 Dana Street"
"004", "94550", "CA", "Livermore", "13224 Patterson Pass Road", "-121.63196", "37.68961", "60342", "Patterson Pass"
